i,x,z,recall_naive,recall_naive_sc,recall_rerank
374,308.169,243.906,1,0,1
375,308.981,244.545,1,0,1
376,309.795,245.185,1,0,1
377,310.604,245.822,1,0,1
378,311.412,246.459,1,0,1
379,312.216,247.093,1,0,1
380,313.02,247.726,1,0,1
381,313.821,248.357,1,0,1
382,314.631,248.996,1,0,1
383,315.447,249.639,1,0,1
384,316.263,250.282,1,0,1
385,317.081,250.926,1,0,1
386,317.897,251.57,1,0,1
387,318.712,252.212,1,0,1
388,319.52,252.849,1,0,1
389,320.324,253.482,1,0,1
390,321.127,254.117,1,0,1
391,321.932,254.754,1,0,1
392,322.735,255.39,1,0,1
393,323.539,256.028,1,0,1
394,324.343,256.666,1,0,1
395,325.147,257.305,1,0,1
396,325.959,257.951,1,0.125,1
397,326.778,258.605,1,0.25,1
398,327.597,259.258,1,0.375,1
399,328.416,259.913,1,0.5,1
400,329.235,260.567,1,0.625,1
401,330.054,261.223,1,0.75,1
402,330.866,261.872,1,0.875,1
403,331.671,262.517,1,1,1
404,332.477,263.161,1,1,1
405,333.283,263.806,1,1,1
406,334.089,264.45,1,1,1
407,334.898,265.096,1,1,1
408,335.706,265.74,1,1,1
409,336.516,266.386,1,1,1
410,337.337,267.039,1,1,1
411,338.164,267.698,1,1,1
412,338.992,268.356,1,1,1
413,339.82,269.013,1,1,1
414,340.65,269.672,1,1,1
415,341.479,270.329,1,1,1
416,342.301,270.981,1,1,1
417,343.115,271.626,1,1,1
418,343.93,272.272,1,1,1
419,344.746,272.919,1,1,1
420,345.563,273.565,1,1,1
421,346.379,274.211,1,1,1
422,347.197,274.859,1,1,1
423,348.015,275.505,1,1,1
424,348.848,276.164,1,1,1
425,349.685,276.825,1,1,1
426,350.523,277.486,1,1,1
427,351.362,278.148,1,1,1
428,352.203,278.811,1,1,1
429,353.044,279.474,1,1,1
430,353.876,280.129,1,1,1
431,354.7,280.779,1,1,1
432,355.524,281.428,1,1,1
433,356.351,282.079,1,1,1
434,357.179,282.73,1,1,1
435,358.008,283.381,1,1,1
436,358.837,284.033,1,1,1
437,359.667,284.684,1,1,1
438,360.51,285.346,1,1,1
439,361.358,286.013,1,0.875,1
440,362.206,286.679,1,1,1
441,363.055,287.346,1,1,1
442,363.904,288.014,1,1,1
443,364.755,288.684,1,1,1
444,365.595,289.345,1,1,1
445,366.427,290,1,1,1
446,367.259,290.655,1,1,1
447,368.092,291.311,1,1,1
448,368.925,291.967,1,1,1
449,369.759,292.625,1,1,1
450,370.594,293.283,1,1,1
451,371.428,293.941,1,1,1
452,372.281,294.615,1,1,1
453,373.133,295.289,1,1,1
454,373.988,295.965,1,1,1
455,374.841,296.64,1,1,1
456,375.696,297.318,1,1,1
