i,x,z,recall_naive,recall_naive_sc,recall_rerank
484,-38.0105,334.306,1,0,1
485,-37.195,333.645,1,0,1
486,-36.3836,332.967,1,0,1
487,-35.5763,332.275,1,0,1
488,-34.7688,331.572,1,0,1
489,-34.0122,330.907,1,0,1
490,-33.2506,330.236,1,0,1
491,-32.4844,329.556,1,0,1
492,-31.7177,328.875,1,0,1
493,-30.965,328.205,1,0,1
494,-30.1915,327.517,1,0,1
495,-29.4436,326.852,1,0,1
496,-28.652,326.149,1,0,1
497,-27.8566,325.441,1,0,1
498,-27.0985,324.766,1,0,1
499,-26.3337,324.086,1,0,1
500,-25.5689,323.406,1,0,1
501,-24.7954,322.719,1,0,1
502,-24.0139,322.028,1,0,1
503,-23.2222,321.329,1,0,1
504,-22.4236,320.626,1,0,1
505,-21.6174,319.918,1,0,1
506,-20.8067,319.208,1,0,1
507,-20.0499,318.546,1,0,1
508,-19.2864,317.879,1,0,1
509,-18.5181,317.208,1,0,1
510,-17.7437,316.532,1,0,1
511,-16.9643,315.851,1,0,1
512,-16.1797,315.166,1,0,1
513,-15.3884,314.475,1,0,1
514,-14.5898,313.778,1,0,1
515,-13.7852,313.076,1,0,1
516,-12.975,312.369,1,0,1
517,-12.1602,311.655,1,0,1
518,-11.4074,310.995,1,0,1
519,-10.649,310.329,1,0,1
520,-9.888,309.66,1,0,1
521,-9.1238,308.989,1,0,1
522,-8.3512,308.311,1,0,1
523,-7.5753,307.629,1,0,1
524,-6.7947,306.944,1,0,1
525,-6.0129,306.258,1,0,1
526,-5.2285,305.569,1,0,1
527,-4.4436,304.88,1,0,1
528,-3.657,304.19,1,0,1
529,-2.8678,303.498,1,0,1
530,-2.0768,302.808,1,0,1
531,-1.2816,302.118,1,0,1
532,-0.4826,301.427,1,0,1
533,0.3203,300.735,1,0,1
534,1.1243,300.044,1,0,1
535,1.9312,299.354,1,0,1
536,2.7429,298.663,1,0,1
537,3.5598,297.971,1,0,1
538,4.3795,297.281,1,0,1
539,5.1997,296.596,1,0,1
540,6.028,295.909,1,0,1
541,6.861,295.224,1,0,1
542,7.6948,294.543,1,0,1
543,8.5333,293.864,1,0,1
544,9.3762,293.187,1,0,1
545,10.2214,292.514,1,0,1
546,11.0717,291.843,1,0,1
547,11.9247,291.177,1,0,1
548,12.7827,290.514,1,0,1
549,13.6461,289.854,1,0,1
550,14.5144,289.196,1,0,1
551,15.3843,288.541,1,0,1
552,16.2586,287.889,1,0,1
553,17.1375,287.238,1,0,1
554,18.021,286.588,1,0,1
555,18.9072,285.943,1,0,1
556,19.7962,285.302,1,0,1
557,20.6899,284.664,1,0,1
558,21.5081,284.088,1,0,1
559,22.3307,283.515,1,0,1
560,23.1557,282.945,1,0,1
561,23.984,282.379,1,0,1
562,24.8164,281.815,1,0,1
563,25.6554,281.254,1,0,1
564,26.4986,280.696,1,0,1
565,27.3383,280.147,1,0,1
566,28.1881,279.599,1,0,1
567,29.0432,279.056,1,0,1
568,29.9031,278.517,1,0,1
569,30.7674,277.983,1,0,1
570,31.636,277.454,1,0,1
571,32.508,276.929,1,0,1
572,33.386,276.408,1,0,1
573,34.2681,275.892,1,0,1
574,35.1541,275.381,1,0,1
575,36.0436,274.874,1,0,1
576,36.937,274.372,1,0,1
577,37.8351,273.875,1,0,1
578,38.7366,273.382,1,0,1
579,39.6415,272.893,1,0,1
580,40.5529,272.406,1,0,1
581,41.4663,271.924,1,0,1
582,42.3823,271.446,1,0,1
583,43.3012,270.972,1,0,1
584,44.2254,270.5,1,0,1
585,45.1508,270.034,1,0,1
586,46.0779,269.573,1,0,1
587,47.0085,269.116,1,0,1
588,47.9378,268.665,1,0,1
589,48.8671,268.219,1,0,1
590,49.7956,267.778,1,0,1
591,50.7226,267.344,1,0,1
592,51.6508,266.914,1,0,1
593,52.5779,266.489,1,0,1
594,53.505,266.07,1,0,1
595,54.4302,265.656,1,0,1
596,55.3539,265.25,1,0,1
597,56.2807,264.849,1,0,1
598,57.2079,264.455,1,0,1
599,58.1357,264.066,1,0,1
600,59.0645,263.683,1,0,1
601,59.9961,263.306,1,0,1
602,60.9291,262.933,1,0,1
603,61.8631,262.566,1,0,1
604,62.7988,262.204,1,0,1
605,63.7352,261.848,1,0,1
606,64.6733,261.498,1,0,1
607,65.6121,261.152,1,0,1
608,66.553,260.811,1,0,1
609,67.5887,260.442,1,0,1
610,68.6246,260.077,1,0,1
611,69.6634,259.717,1,0,1
612,70.7022,259.361,1,0,1
613,71.7434,259.01,1,0,1
614,72.6924,258.694,1,0,1
615,73.7315,258.355,1,0,1
616,74.7768,258.018,1,0,1
617,75.8187,257.688,1,0,1
618,76.8565,257.365,1,0,1
619,77.8965,257.046,1,0,1
620,78.943,256.732,1,0,1
621,79.9762,256.428,1,0,1
622,81.0143,256.129,1,0,1
623,82.0488,255.837,1,0,1
624,83.0709,255.558,1,0,1
625,84.0903,255.286,1,0,1
626,85.0976,255.026,1,0,1
627,86.0947,254.776,1,0,1
628,87.0779,254.537,1,0,1
629,88.053,254.307,1,0,1
630,89.0999,254.068,1,0,1
631,90.1342,253.839,1,0,1
632,91.1522,253.62,1,0,1
633,92.1529,253.41,1,0,1
634,93.1363,253.21,1,0,1
635,94.1809,253.002,1,0,1
636,95.2005,252.803,1,0,1
637,96.1959,252.613,1,0,1
638,97.2442,252.416,1,0,1
639,98.2833,252.224,1,0,1
640,99.3179,252.036,1,0,1
641,100.356,251.852,1,0,1
642,101.401,251.672,1,0,1
643,102.409,251.506,1,0,1
644,103.423,251.344,1,0,1
645,104.461,251.183,1,0,1
646,105.518,251.025,1,0,1
647,106.511,250.883,1,0,1
648,107.511,250.747,1,0,1
649,108.519,250.617,1,0,1
650,109.545,250.492,1,0,1
651,110.571,250.376,1,0,1
652,111.602,250.269,1,0,1
653,112.644,250.171,1,0,1
654,113.702,250.079,1,0,1
655,114.768,249.994,1,0,1
656,115.841,249.914,1,0,1
657,116.919,249.838,1,0,1
658,117.924,249.772,1,0,1
659,118.938,249.709,1,0.125,1
660,119.959,249.647,1,0.375,1
661,120.984,249.588,1,0.75,1
662,122.014,249.531,1,1,1
663,123.057,249.476,1,1,1
664,124.106,249.424,1,1,1
665,125.163,249.372,1,1,1
666,126.222,249.321,1,1,1
667,127.293,249.27,1,1,1
668,128.371,249.22,1,1,1
669,129.456,249.169,1,1,1
670,130.458,249.123,1,1,1
671,131.465,249.078,1,1,1
672,132.478,249.033,1,1,1
673,133.5,248.99,1,1,1
674,134.529,248.95,1,1,1
675,135.566,248.912,1,1,1
676,136.605,248.876,1,1,1
677,137.655,248.842,1,1,1
678,138.713,248.81,1,1,1
679,139.775,248.78,1,1,1
680,140.844,248.751,1,1,1
681,141.921,248.724,1,1,1
682,143.005,248.698,1,1,1
683,144.095,248.675,1,1,1
