i,x,z,recall_naive,recall_naive_sc,recall_rerank
511,101.751,404.937,1,0,1
512,102.777,404.836,1,0,1
513,103.808,404.731,1,0,1
514,104.84,404.622,1,0,1
515,105.876,404.509,1,0,1
516,106.916,404.392,1,0,1
517,107.959,404.27,1,0,1
518,109.005,404.144,1,0,1
519,110.052,404.013,1,0,1
520,111.103,403.878,1,0,1
521,112.156,403.739,1,0,1
522,113.213,403.594,1,0,1
523,114.272,403.445,1,0,1
524,115.333,403.292,1,0,1
525,116.398,403.133,1,0,1
526,117.464,402.969,1,0,1
527,118.533,402.8,1,0,1
528,119.608,402.626,1,0,1
529,120.676,402.449,1,0,1
530,121.752,402.265,1,0,1
531,122.834,402.074,1,0,1
532,123.9,401.881,1,0,1
533,124.992,401.678,1,0,1
534,126.068,401.471,1,0,1
535,127.148,401.258,1,0,1
536,128.231,401.037,1,0,1
537,129.316,400.81,1,0,1
538,130.403,400.576,1,0,1
539,131.488,400.334,1,0,1
540,132.575,400.083,1,0,1
541,133.66,399.824,1,0,1
542,134.746,399.556,1,0,1
543,135.833,399.279,1,0,1
544,136.92,398.994,1,0,1
545,138.006,398.702,1,0,1
546,138.974,398.436,1,0,1
547,139.942,398.163,1,0,1
548,140.908,397.886,1,0,1
549,141.874,397.602,1,0,1
550,142.841,397.312,1,0,1
551,143.809,397.016,1,0,1
552,144.776,396.715,1,0,1
553,145.743,396.408,1,0,1
554,146.71,396.096,1,0,1
555,147.679,395.779,1,0,1
556,148.647,395.458,1,0,1
557,149.617,395.131,1,0,1
558,150.587,394.8,1,0,1
559,151.557,394.465,1,0,1
560,152.525,394.126,1,0,1
561,153.492,393.783,1,0,1
562,154.457,393.436,1,0,1
563,155.421,393.084,1,0,1
564,156.387,392.728,1,0,1
565,157.352,392.367,1,0,1
566,158.319,392.001,1,0,1
567,159.284,391.631,1,0,1
568,160.25,391.256,1,0,1
569,161.213,390.878,1,0,1
570,162.176,390.494,1,0,1
571,163.139,390.106,1,0,1
572,164.102,389.713,1,0,1
573,165.065,389.316,1,0,1
574,166.026,388.914,1,0,1
575,166.987,388.508,1,0,1
576,167.953,388.096,1,0,1
577,168.913,387.681,1,0,1
578,169.872,387.261,1,0,1
579,170.838,386.833,1,0,1
580,171.8,386.402,1,0,1
581,172.759,385.967,1,0,1
582,173.715,385.528,1,0,1
583,174.672,385.085,1,0,1
584,175.628,384.637,1,0,1
585,176.581,384.185,1,0,1
586,177.533,383.728,1,0,1
587,178.487,383.265,1,0,1
588,179.439,382.798,1,0,1
589,180.389,382.327,1,0,1
590,181.335,381.853,1,0,1
591,182.277,381.375,1,0,1
592,183.214,380.897,1,0,1
593,184.154,380.415,1,0,1
594,185.085,379.935,1,0,1
595,186.014,379.457,1,0,1
596,186.944,378.978,1,0,1
597,187.872,378.502,1,0,1
598,188.802,378.026,1,0,1
599,189.728,377.552,1,0,1
600,190.651,377.082,1,0,1
601,191.572,376.613,1,0,1
602,192.49,376.145,1,0,1
603,193.408,375.679,1,0,1
604,194.328,375.212,1,0,1
605,195.244,374.747,1,0,1
606,196.158,374.283,1,0,1
607,197.074,373.818,1,0,1
608,197.986,373.356,1,0,1
609,198.897,372.895,1,0,1
610,199.808,372.434,1,0,1
611,200.717,371.975,1,0,1
612,201.623,371.517,1,0,1
613,202.53,371.059,1,0,1
614,203.434,370.603,1,0,1
615,204.338,370.146,1,0,1
616,205.24,369.692,1,0,1
617,206.141,369.238,1,0,1
618,207.04,368.784,1,0,1
619,207.939,368.331,1,0,1
620,208.834,367.88,1,0,1
621,209.729,367.428,1,0,1
622,210.733,366.921,1,0,1
623,211.735,366.415,1,0,1
624,212.734,365.91,1,0,1
625,213.731,365.406,1,0,1
626,214.727,364.901,1,0,1
627,215.719,364.399,1,0,1
628,216.71,363.895,1,0,1
629,217.702,363.392,1,0,1
630,218.686,362.89,1,0,1
631,219.674,362.387,1,0,1
632,220.661,361.882,1,0,1
633,221.647,361.378,1,0,1
634,222.628,360.874,1,0,1
635,223.608,360.37,1,0,1
636,224.584,359.867,1,0,1
637,225.561,359.362,1,0,1
638,226.535,358.857,1,0,1
639,227.507,358.351,1,0,1
640,228.478,357.844,1,0,1
641,229.445,357.337,1,0,1
642,230.412,356.828,1,0,1
643,231.375,356.32,1,0,1
644,232.338,355.81,1,0,1
645,233.296,355.301,1,0,1
646,234.252,354.792,1,0,1
647,235.206,354.282,1,0,1
648,236.158,353.77,1,0,1
649,237.108,353.258,1,0,1
650,238.055,352.745,1,0,1
651,239.004,352.231,1,0,1
652,239.949,351.715,1,0,1
653,240.894,351.198,1,0,1
654,241.837,350.679,1,0,1
655,242.779,350.158,1,0,1
656,243.719,349.634,1,0,1
657,244.655,349.109,1,0,1
658,245.59,348.582,1,0,1
659,246.522,348.053,1,0,1
660,247.453,347.521,1,0,1
661,248.383,346.986,1,0,1
662,249.312,346.449,1,0,1
663,250.237,345.911,1,0,1
664,251.162,345.37,1,0,1
665,252.088,344.824,1,0,1
666,253.01,344.277,1,0,1
667,253.93,343.727,1,0,1
668,254.851,343.172,1,0,1
669,255.77,342.613,1,0,1
670,256.687,342.051,1,0,1
671,257.603,341.484,1,0,1
672,258.515,340.915,1,0,1
673,259.425,340.341,1,0,1
674,260.335,339.764,1,0,1
675,261.245,339.18,1,0,1
676,262.144,338.599,1,0,1
677,263.049,338.009,1,0,1
678,263.951,337.416,1,0,1
679,264.849,336.821,1,0,1
680,265.741,336.225,1,0,1
681,266.634,335.624,1,0,1
682,267.528,335.018,1,0,1
683,268.417,334.41,1,0,1
684,269.303,333.801,1,0,1
685,270.191,333.184,1,0,1
686,271.072,332.567,1,0,1
687,271.951,331.947,1,0,1
688,272.829,331.323,1,0,1
689,273.709,330.694,1,0,1
690,274.584,330.064,1,0,1
691,275.458,329.432,1,0,1
692,276.325,328.799,1,0.125,1
693,277.19,328.165,1,0.5,1
694,278.053,327.528,1,0.75,1
695,278.917,326.886,1,1,1
696,279.785,326.24,1,1,1
697,280.649,325.595,1,1,1
698,281.511,324.95,1,1,1
699,282.372,324.303,1,1,1
700,283.234,323.654,1,1,1
701,284.096,323.004,1,1,1
702,284.956,322.354,1,1,1
703,285.813,321.703,1,1,1
704,286.672,321.051,1,1,1
705,287.527,320.399,1,1,1
706,288.382,319.746,1,1,1
707,289.234,319.093,1,1,1
708,290.086,318.437,1,1,1
709,290.941,317.778,1,1,1
710,291.796,317.117,1,1,1
711,292.648,316.456,1,1,1
712,293.5,315.793,1,1,1
713,294.351,315.129,1,1,1
714,295.202,314.463,1,1,1
715,296.052,313.795,1,1,1
716,296.905,313.122,1,1,1
717,297.75,312.455,1,1,1
718,298.597,311.784,1,1,1
719,299.443,311.113,1,1,1
720,300.292,310.44,1,1,1
721,301.139,309.77,1,1,1
722,301.988,309.101,1,1,1
723,302.838,308.434,1,1,1
724,303.691,307.766,1,1,1
725,304.546,307.1,1,1,1
726,305.405,306.434,1,1,1
727,306.268,305.768,1,1,1
