source,leaf_max_size,k,threads,n_points,build_s,query_us
random_10000,10,1,1,10000,0.0009652,0.30725
random_10000,10,5,1,10000,0.0010619,0.66305
random_10000,10,20,1,10000,0.000992,1.8013
random_10000,25,1,1,10000,0.0007898,0.28785
random_10000,25,5,1,10000,0.0007863,0.6418
random_10000,25,20,1,10000,0.0007963,1.64865
random_10000,10,1,1,10000,0.0009265,0.2901
random_10000,10,5,1,10000,0.0010881,0.7082
random_10000,10,20,1,10000,0.0009818,1.8667
random_10000,25,1,1,10000,0.0007864,0.2942
random_10000,25,5,1,10000,0.0007643,0.6785
random_10000,25,20,1,10000,0.0007623,1.65425
random_10000,10,1,1,10000,0.0009383,0.3661
random_10000,10,5,1,10000,0.0009949,0.7064
random_10000,10,20,1,10000,0.0009912,1.8951
random_10000,25,1,1,10000,0.0007717,0.29225
random_10000,25,5,1,10000,0.000756,0.649
random_10000,25,20,1,10000,0.0007591,1.65485
random_10000,10,1,1,10000,0.0010275,0.30455
random_10000,10,5,1,10000,0.0009787,0.7061
random_10000,10,20,1,10000,0.0009788,1.8914
random_10000,25,1,1,10000,0.0007567,0.2923
random_10000,25,5,1,10000,0.0007568,0.6567
random_10000,25,20,1,10000,0.0007545,1.6881
random_10000,10,1,1,10000,0.0009192,0.2937
random_10000,10,5,1,10000,0.0009216,0.6911
random_10000,10,20,1,10000,0.0009207,1.9393
random_10000,25,1,1,10000,0.0007793,0.3194
random_10000,25,5,1,10000,0.0007828,0.67475
random_10000,25,20,1,10000,0.0007626,1.6778
random_10000,10,1,1,10000,0.0009277,0.28775
random_10000,10,5,1,10000,0.0009333,0.6732
random_10000,10,20,1,10000,0.0009327,1.90405
random_10000,25,1,1,10000,0.0007833,0.2936
random_10000,25,5,1,10000,0.0007829,0.66335
random_10000,25,20,1,10000,0.0007798,1.6558
random_10000,10,1,1,10000,0.0009267,0.29
random_10000,10,5,1,10000,0.0009268,0.6794
random_10000,10,20,1,10000,0.0010372,1.9171
random_10000,25,1,1,10000,0.0007812,0.3018
random_10000,25,5,1,10000,0.0007817,0.6626
random_10000,25,20,1,10000,0.0007809,1.7304
random_10000,10,1,1,10000,0.0009311,0.2991
random_10000,10,5,1,10000,0.0009294,0.72295
random_10000,10,20,1,10000,0.0009347,1.83525
random_10000,25,1,1,10000,0.0007613,0.3747
random_10000,25,5,1,10000,0.0007875,0.6589
random_10000,25,20,1,10000,0.0007531,1.6916
random_10000,10,1,1,10000,0.0009298,0.29025
random_10000,10,5,1,10000,0.0009291,0.78005
random_10000,10,20,1,10000,0.000933,1.8249
random_10000,25,1,1,10000,0.0007611,0.28965
random_10000,25,5,1,10000,0.0007558,0.6534
random_10000,25,20,1,10000,0.0007592,1.6643
random_10000,10,1,1,10000,0.0009301,0.2976
random_10000,10,5,1,10000,0.0009216,0.69065
random_10000,10,20,1,10000,0.0009314,1.82755
random_10000,25,1,1,10000,0.0007624,0.37945
random_10000,25,5,1,10000,0.0007848,0.662
random_10000,25,20,1,10000,0.000762,1.69375
random_10000,10,1,1,10000,0.0009627,0.36795
random_10000,10,5,1,10000,0.0010042,0.68705
random_10000,10,20,1,10000,0.0009583,1.8446
random_10000,25,1,1,10000,0.0007939,0.29235
random_10000,25,5,1,10000,0.0007816,0.65905
random_10000,25,20,1,10000,0.0007794,1.69345
random_10000,10,1,1,10000,0.0009202,0.2942
random_10000,10,5,1,10000,0.0009194,0.7424
random_10000,10,20,1,10000,0.0012783,1.91005
random_10000,25,1,1,10000,0.0007569,0.29045
random_10000,25,5,1,10000,0.000756,0.65165
random_10000,25,20,1,10000,0.000759,1.67655
random_10000,10,1,1,10000,0.0009311,0.2898
random_10000,10,5,1,10000,0.0009316,0.67345
random_10000,10,20,1,10000,0.0009291,1.9063
random_10000,25,1,1,10000,0.0007617,0.2886
random_10000,25,5,1,10000,0.0007582,0.6508
random_10000,25,20,1,10000,0.0007558,1.67405
random_10000,10,1,1,10000,0.0009208,0.28755
random_10000,10,5,1,10000,0.0009202,0.6818
random_10000,10,20,1,10000,0.0009472,1.82685
random_10000,25,1,1,10000,0.00076,0.28785
random_10000,25,5,1,10000,0.000756,0.65565
random_10000,25,20,1,10000,0.0007563,1.6613
random_10000,10,1,1,10000,0.0009259,0.2947
