source,leaf_max_size,k,threads,n_points,build_s,query_us
kitti,25,5,1,121497,0.0083228,0.76425
kitti,25,20,1,121497,0.0082624,1.5789
kitti,10,1,1,121148,0.0101019,0.58445
kitti,10,5,1,121148,0.0099455,0.85435
kitti,10,20,1,121148,0.0097842,1.7832
kitti,25,1,1,121148,0.0082355,0.4972
kitti,25,5,1,121148,0.0081447,0.7676
kitti,25,20,1,121148,0.0086089,1.83675
kitti,10,1,1,120359,0.0096911,0.64735
kitti,10,5,1,120359,0.0102732,0.88215
kitti,10,20,1,120359,0.0103998,1.94705
kitti,25,1,1,120359,0.0086384,0.53335
kitti,25,5,1,120359,0.0080147,0.80905
kitti,25,20,1,120359,0.0083449,1.67235
kitti,10,1,1,119454,0.009614,0.592
kitti,10,5,1,119454,0.009606,0.90865
kitti,10,20,1,119454,0.0096411,1.90755
kitti,25,1,1,119454,0.0080103,0.76335
kitti,25,5,1,119454,0.0085826,0.85565
kitti,25,20,1,119454,0.0079962,1.82025
kitti,10,1,1,118399,0.0100142,0.60905
kitti,10,5,1,118399,0.0100526,1.0549
kitti,10,20,1,118399,0.0095188,2.2437
kitti,25,1,1,118399,0.0082554,0.6179
kitti,25,5,1,118399,0.0079268,0.9794
kitti,25,20,1,118399,0.0077662,1.90865
kitti,10,1,1,116881,0.009486,0.62065
kitti,10,5,1,116881,0.0092772,0.97375
kitti,10,20,1,116881,0.0093011,2.003
kitti,25,1,1,116881,0.0077398,0.57065
kitti,25,5,1,116881,0.0077731,0.9291
kitti,25,20,1,116881,0.0077829,1.85455
kitti,10,1,1,114496,0.0092829,0.70745
kitti,10,5,1,114496,0.0092524,0.94345
kitti,10,20,1,114496,0.0094041,2.03365
kitti,25,1,1,114496,0.0077167,0.5607
kitti,25,5,1,114496,0.0076889,0.8922
kitti,25,20,1,114496,0.0076569,1.808
kitti,10,1,1,113139,0.0091737,0.55335
kitti,10,5,1,113139,0.0091559,0.864
kitti,10,20,1,113139,0.0091628,1.91445
kitti,25,1,1,113139,0.0076159,0.5541
kitti,25,5,1,113139,0.0075822,0.82135
kitti,25,20,1,113139,0.0076582,1.7954
kitti,10,1,1,113810,0.0093797,0.60115
kitti,10,5,1,113810,0.0093546,0.9006
kitti,10,20,1,113810,0.0094477,1.9571
kitti,25,1,1,113810,0.0077076,0.5446
kitti,25,5,1,113810,0.0075952,0.8134
kitti,25,20,1,113810,0.0077391,1.717
kitti,10,1,1,115974,0.0094156,0.59815
kitti,10,5,1,115974,0.0094463,0.9322
kitti,10,20,1,115974,0.0093233,1.8009
kitti,25,1,1,115974,0.0079299,0.52455
kitti,25,5,1,115974,0.0077258,0.85235
kitti,25,20,1,115974,0.0077455,1.66085
kitti,10,1,1,117156,0.009611,0.61435
kitti,10,5,1,117156,0.0095671,0.86285
kitti,10,20,1,117156,0.0095434,1.90605
kitti,25,1,1,117156,0.0079247,0.595
kitti,25,5,1,117156,0.0080018,0.84855
kitti,25,20,1,117156,0.0080482,1.75485
kitti,10,1,1,118636,0.0098218,0.5521
kitti,10,5,1,118636,0.0097089,1.0058
kitti,10,20,1,118636,0.009695,1.9478
kitti,25,1,1,118636,0.0079965,0.52035
kitti,25,5,1,118636,0.0081116,0.8571
kitti,25,20,1,118636,0.0079189,1.71145
random_10000,10,1,1,10000,0.0008572,0.30635
random_10000,10,5,1,10000,0.0008536,0.694
random_10000,10,20,1,10000,0.0008558,1.94435
random_10000,25,1,1,10000,0.0007104,0.3033
random_10000,25,5,1,10000,0.0007033,0.6769
random_10000,25,20,1,10000,0.0007202,1.66745
random_10000,10,1,1,10000,0.0008529,0.29105
random_10000,10,5,1,10000,0.0008465,0.6748
random_10000,10,20,1,10000,0.0008511,1.88615
random_10000,25,1,1,10000,0.0007028,0.29765
random_10000,25,5,1,10000,0.0007055,0.6644
