method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
forest,192,71.2874,1.7674,7215601,23365089,2195800,2195864
forest,193,55.6518,2.1146,7247010,23488784,2195800,2195864
forest,194,115.7207,1.9711,7282416,23612589,2195800,2195864
forest,195,50.5479,2.1659,7314456,23736286,2195800,2195864
forest,196,65.8173,1.5372,7342169,23859562,2195800,2195864
forest,197,46.6099,2.4714,7362539,23982746,2195800,2195864
forest,198,59.2643,2.4922,7375742,24105780,2195800,2195864
forest,199,203.7388,2.2193,7383100,24228694,2195800,2195864
forest,200,65.3584,2.0348,7386274,24351345,2195800,2195864
forest,201,76.6242,2.5234,7385770,24473678,2195800,2195864
forest,202,59.4978,2.4583,7384403,24596179,2195800,2195864
forest,203,116.0964,2.3309,7381914,24719044,2195800,2195864
forest,204,57.0007,1.8633,7380279,24842251,2195800,2195864
forest,205,82.0893,2.8561,7378255,24965556,2195800,2195864
forest,206,56.5510,2.4802,7380034,25088816,2195800,2195864
forest,207,1615.3095,1.5452,7383706,25211783,2195800,2195864
forest,208,52.7587,1.5802,7391934,25334844,2195800,2195864
forest,209,67.3212,1.9542,7399294,25457403,2195800,2195864
forest,210,50.8215,1.8749,7404636,25579430,2195800,2195864
forest,211,100.0889,1.5232,7413246,25701109,2195800,2195864
forest,212,49.7221,1.1755,7416354,25822495,2195800,2195864
forest,213,46.7910,2.2343,7408583,25943621,2195800,2195864
forest,214,73.0633,2.0846,7399106,26064610,2195800,2195864
forest,215,57.9229,1.9917,7388174,26185332,2195800,2195864
forest,216,176.9439,1.6605,7375259,26305770,2195800,2195864
forest,217,55.2796,1.9660,7360667,26425781,2195800,2195864
forest,218,71.6821,1.6432,7346460,26545639,2195800,2195864
forest,219,52.6633,1.7726,7333242,26665222,2195800,2195864
forest,220,98.6538,1.8101,7321931,26784654,2195800,2195864
forest,221,51.1313,1.7364,7314736,26904424,2195800,2195864
forest,222,64.4192,1.9105,7313674,27024301,2195800,2195864
forest,223,49.4283,1.8939,7308214,27144157,2195800,2195864
forest,224,312.8991,0.8514,7298674,27263840,2195800,2195864
forest,225,45.5886,1.7879,7285357,27383572,2195800,2195864
forest,226,57.6069,1.6985,7273365,27502713,2195800,2195864
forest,227,71.6765,1.9204,7259389,27621435,2195800,2195864
forest,228,55.2626,1.8891,7241658,27740879,2195800,2195864
forest,229,98.8128,1.9057,7225598,27860574,2195800,2195864
forest,230,52.0826,2.0161,7218314,27980051,2195800,2195864
forest,231,66.1778,1.6972,7221145,28099742,2195800,2195864
forest,232,51.1558,2.1173,7229783,28220039,2195800,2195864
forest,233,169.7619,1.6119,7235893,28340564,2195800,2195864
forest,234,49.1381,1.5958,7235433,28460644,2195800,2195864
forest,235,63.3867,1.5910,7229614,28580248,2195800,2195864
forest,236,45.7287,2.5756,7226277,28700121,2195800,2195864
forest,237,57.0845,1.8654,7236224,28820271,2195800,2195864
forest,238,101.9734,2.0041,7263841,28940406,2195800,2195864
forest,239,53.7008,2.2685,7304063,29060357,2195800,2195864
rebuild,0,11.4116,0.1221,124668,124668,1421788,1421788
rebuild,1,23.8507,0.1664,249273,249273,1421788,1421788
rebuild,2,39.3160,0.2671,373751,373751,1421788,1421788
rebuild,3,50.2168,0.2854,497918,497918,1421788,1421788
rebuild,4,67.2049,0.2905,621887,621887,1421788,1421788
rebuild,5,78.8881,0.3510,745811,745811,1421788,1421788
rebuild,6,99.9293,0.4887,869184,869184,1421788,1421788
rebuild,7,114.2917,0.3635,991949,991949,1421788,1421788
rebuild,8,126.1617,0.3782,1114071,1114071,1421788,1421788
